,attr,charge,id,mode,name,race,rare,skill1,skill2,skill3,攻擊力(.*)提升,回復(.*)生命力,CD,無視(.*)指定形狀盾,無視(.*)五屬盾,無視(.*)攻前盾,回復力(.*)提升,減少所受傷害,造成(.*),屬性相剋,轉化為我方生命力,單體攻擊轉化為全體攻擊,延遲,所受傷害不會使你死亡,轉化(.*)符石,迴避,追打,造成(.*)此傷害無視防禦力,反擊
24,火,消除火符石 (只計算首批消除的符石),25,1,煉之狂暴龍紋,,3,1 回合內，隊伍回復力提升 50%,1 回合內，火屬性成員的攻擊力提升 30%,1 回合內，所有成員無視屬性相剋,1.0,,,,,,1.0,,,1.0,,,,,,,,,
25,木,消除木符石 (只計算首批消除的符石),26,3,森之狂暴龍咒,,3,1 回合內，隊伍回復力提升 50%,1 回合內，木屬性成員的攻擊力提升 30%,1 回合內，所有成員無視屬性相剋,1.0,,,,,,1.0,,,1.0,,,,,,,,,
26,光,消除光符石 (只計算首批消除的符石),27,2,耀之狂暴龍印,,3,1 回合內，隊伍回復力提升 50%,1 回合內，光屬性成員的攻擊力提升 30%,1 回合內，敵方所受傷害的 3% 轉化為我方生命力，最大為生命力等值的50% (傷害轉化效果不能疊加，並不計算主動及隊長技傷害),1.0,,,,,,1.0,,,,1.0,,,,,,,,
27,暗,消除暗符石 (只計算首批消除的符石),28,3,影之狂暴龍咒,,3,1 回合內，隊伍回復力提升 50%,1 回合內，暗屬性成員的攻擊力提升 30%,1 回合內，敵方所受傷害的 3% 轉化為我方生命力，最大為生命力等值的50% (傷害轉化效果不能疊加，並不計算主動及隊長技傷害),1.0,,,,,,1.0,,,,1.0,,,,,,,,
28,,消除心符石 (只計算首批消除的符石),29,3,祈之鐵壁龍咒,人類,2,1 回合內，隊伍攻擊力提升 20%,1 回合內，減少所受傷害 80%,,1.0,,,,,,,1.0,,,,,,,,,,,
29,,召喚獸受到攻擊次數,30,3,抵之屏息龍咒,獸類,2,1 回合內，隊伍攻擊力提升 20%,1 回合內，回復 80% 生命力,,1.0,1.0,,,,,,,,,,,,,,,,,
30,,裝備此龍刻的召喚獸發動攻擊的次數,31,1,攻之屏息龍紋,神族,2,1 回合內，隊伍攻擊力提升 20%,1 回合內，回復 80% 生命力,,1.0,1.0,,,,,,,,,,,,,,,,,
31,,連擊 (Combo) 達 4 或以上,32,2,連之屏息龍印,龍類,2,1 回合內，隊伍攻擊力提升 20%,1 回合內，回復 80% 生命力,,1.0,1.0,,,,,,,,,,,,,,,,,
32,,消除心符石 (只計算首批消除的符石),33,2,祈之屏息龍印,妖精類,2,1 回合內，隊伍攻擊力提升 20%,1 回合內，回復 80% 生命力,,1.0,1.0,,,,,,,,,,,,,,,,,
33,,連擊 (Combo) 達 4 或以上,34,1,連之鐵壁龍紋,魔族,2,1 回合內，隊伍攻擊力提升 20%,1 回合內，減少所受傷害 80%,,1.0,,,,,,,1.0,,,,,,,,,,,
34,,消除心符石 (只計算首批消除的符石),35,4,祈之狂暴龍符,,1,1 回合內，隊伍攻擊力提升 10%,,,1.0,,,,,,,,,,,,,,,,,,
35,,連擊 (Combo) 達 4 或以上,36,4,連之王暴龍符,人類,2,1 回合內，單體攻擊轉化為全體攻擊,1 回合內，人類成員的攻擊力提升 30%,,1.0,,,,,,,,,,,1.0,,,,,,,
36,,裝備此龍刻的召喚獸發動攻擊的次數,37,4,攻之獸暴龍符,獸類,2,1 回合內，單體攻擊轉化為全體攻擊,1 回合內，獸類成員的攻擊力提升 30%,,1.0,,,,,,,,,,,1.0,,,,,,,
37,,連擊 (Combo) 達 4 或以上,38,4,連之神暴龍符,神族,2,1 回合內，單體攻擊轉化為全體攻擊,1 回合內，神族成員的攻擊力提升 30%,,1.0,,,,,,,,,,,1.0,,,,,,,
38,,連擊 (Combo) 達 4 或以上,39,4,連之龍暴龍符,龍類,2,1 回合內，單體攻擊轉化為全體攻擊,1 回合內，龍類成員的攻擊力提升 30%,,1.0,,,,,,,,,,,1.0,,,,,,,
39,,召喚獸受到攻擊次數,40,4,抵之妖暴龍符,妖精類,2,1 回合內，單體攻擊轉化為全體攻擊,1 回合內，妖精類成員的攻擊力提升 30%,,1.0,,,,,,,,,,,1.0,,,,,,,
40,,裝備此龍刻的召喚獸發動攻擊的次數,41,4,攻之魔暴龍符,魔族,2,1 回合內，單體攻擊轉化為全體攻擊,1 回合內，魔族成員的攻擊力提升 30%,,1.0,,,,,,,,,,,1.0,,,,,,,
41,水,消除水符石 (只計算首批消除的符石),42,4,漩之威嚇龍符,,2,1 回合內，水屬性成員的攻擊力提升 20%,延遲火屬性敵人行動 1 回合,,1.0,,,,,,,,,,,,1.0,,,,,,
42,火,消除火符石 (只計算首批消除的符石),43,4,煉之威嚇龍符,,2,1 回合內，火屬性成員的攻擊力提升 20%,延遲木屬性敵人行動 1 回合,,1.0,,,,,,,,,,,,1.0,,,,,,
43,木,消除木符石 (只計算首批消除的符石),44,2,森之威嚇龍印,,2,1 回合內，木屬性成員的攻擊力提升 20%,延遲水屬性敵人行動 1 回合,,1.0,,,,,,,,,,,,1.0,,,,,,
44,光,消除光符石 (只計算首批消除的符石),45,4,耀之威嚇龍符,,2,1 回合內，光屬性成員的攻擊力提升 20%,延遲暗屬性敵人行動 1 回合,,1.0,,,,,,,,,,,,1.0,,,,,,
45,暗,消除暗符石 (只計算首批消除的符石),46,2,影之威嚇龍印,,2,1 回合內，暗屬性成員的攻擊力提升 20%,延遲光屬性敵人行動 1 回合,,1.0,,,,,,,,,,,,1.0,,,,,,
46,水,裝備此龍刻的召喚獸發動攻擊的次數,47,2,攻之原色龍印,人類,3,1 回合內，人類成員的攻擊力提升 20%,1 回合內，50% 的攻擊傷害無視五屬盾,1 回合內，水屬性成員的攻擊力提升 30%,1.0,,,,1.0,,,,,,,,,,,,,,
47,火,裝備此龍刻的召喚獸發動攻擊的次數,48,3,攻之圖騰龍咒,人類,3,1 回合內，人類成員的攻擊力提升 20%,1 回合內，50% 的攻擊傷害無視指定形狀盾,1 回合內，火屬性成員的攻擊力提升 30%,1.0,,,1.0,,,,,,,,,,,,,,,
48,木,連擊 (Combo) 達 4 或以上,49,4,連之衝鋒龍符,人類,3,1 回合內，人類成員的攻擊力提升 20%,1 回合內，50% 的攻擊傷害無視攻前盾,1 回合內，木屬性成員的攻擊力提升 30%,1.0,,,,,1.0,,,,,,,,,,,,,
49,光,裝備此龍刻的召喚獸發動攻擊的次數,50,1,攻之王暴龍紋,人類,3,1 回合內，人類成員的攻擊力提升 20%,1 回合內，回復 60% 生命力,1 回合內，光屬性成員的攻擊力提升 30%,1.0,1.0,,,,,,,,,,,,,,,,,
50,暗,連擊 (Combo) 達 4 或以上,51,4,連之屏息龍符,人類,3,1 回合內，人類成員的攻擊力提升 20%,1 回合內，回復 60% 生命力,1 回合內，暗屬性成員的攻擊力提升 30%,1.0,1.0,,,,,,,,,,,,,,,,,
51,水,消除水符石 (只計算首批消除的符石),52,3,漩之絕境龍咒,神族,3,隨機 2 個水成員的技能 CD 減少 1,1 回合內，水屬性成員的攻擊力提升 30%,1 回合內，所受傷害不會使你死亡,1.0,,1.0,,,,,,,,,,,1.0,,,,,
52,火,消除火符石 (只計算首批消除的符石),53,4,煉之絕境龍符,神族,3,隨機 2 個火成員的技能 CD 減少 1,1 回合內，火屬性成員的攻擊力提升 30%,1 回合內，所受傷害不會使你死亡,1.0,,1.0,,,,,,,,,,,1.0,,,,,
53,木,消除木符石 (只計算首批消除的符石),54,1,森之絕境龍紋,神族,3,隨機 2 個木成員的技能 CD 減少 1,1 回合內，木屬性成員的攻擊力提升 30%,1 回合內，所受傷害不會使你死亡,1.0,,1.0,,,,,,,,,,,1.0,,,,,
54,光,消除光符石 (只計算首批消除的符石),55,4,耀之鐵壁龍符,神族,3,隨機 2 個光成員的技能 CD 減少 1,1 回合內，光屬性成員的攻擊力提升 30%,1 回合內，減少所受傷害 80%,1.0,,1.0,,,,,1.0,,,,,,,,,,,
55,暗,消除暗符石 (只計算首批消除的符石),56,2,影之鐵壁龍印,神族,3,隨機 2 個暗成員的技能 CD 減少 1,1 回合內，暗屬性成員的攻擊力提升 30%,1 回合內，減少所受傷害 80%,1.0,,1.0,,,,,1.0,,,,,,,,,,,
56,,裝備此龍刻的召喚獸發動攻擊的次數,57,4,攻之狂暴龍符,神族,3,1 回合內，回復 50% 生命力,隨機 3 個神族成員的技能 CD 減少 1,1 回合內，隊伍攻擊力提升 50%,1.0,1.0,1.0,,,,,,,,,,,,,,,,
57,,消除任何符石 (只計算首批消除的符石),58,5,虛之狂暴龍玉,,1,1 回合內，隊伍攻擊力提升 10%,,,1.0,,,,,,,,,,,,,,,,,,
58,水,消除水符石 (只計算首批消除的符石),59,5,漩之狂暴龍玉,,2,1 回合內，隊伍攻擊力及回復力提升 15%,1 回合內，水屬性成員對水屬性敵人的攻擊力提升 30%,,1.0,,,,,,1.0,,,,,,,,,,,,
59,火,消除火符石 (只計算首批消除的符石),60,5,煉之狂暴龍玉,,2,1 回合內，隊伍攻擊力及回復力提升 15%,1 回合內，火屬性成員對火屬性敵人的攻擊力提升 30%,,1.0,,,,,,1.0,,,,,,,,,,,,
60,木,消除木符石 (只計算首批消除的符石),61,5,森之狂暴龍玉,,2,1 回合內，隊伍攻擊力及回復力提升 15%,1 回合內，木屬性成員對木屬性敵人的攻擊力提升 30%,,1.0,,,,,,1.0,,,,,,,,,,,,
61,光,消除光符石 (只計算首批消除的符石),62,5,耀之狂暴龍玉,,2,1 回合內，隊伍攻擊力及回復力提升 15%,1 回合內，光屬性成員對光屬性敵人的攻擊力提升 30%,,1.0,,,,,,1.0,,,,,,,,,,,,
62,暗,消除暗符石 (只計算首批消除的符石),63,5,影之狂暴龍玉,,2,1 回合內，隊伍攻擊力及回復力提升 15%,1 回合內，暗屬性成員對暗屬性敵人的攻擊力提升 30%,,1.0,,,,,,1.0,,,,,,,,,,,,
63,,連擊 (Combo) 達 4 或以上,64,5,連之越時龍玉,神族,3,1 回合內，隊伍攻擊力及回復力提升 15%,1 回合內，隊伍攻擊力提升 20%,隨機 2 個神族成員的技能 CD 減少 2,1.0,,1.0,,,,1.0,,,,,,,,,,,,
64,水,消除水符石 (只計算首批消除的符石),65,3,漩之狂暴龍咒,,2,1 回合內，隊伍回復力提升 75%,1 回合內，隊伍攻擊力提升 25%,,1.0,,,,,,1.0,,,,,,,,,,,,
65,火,消除火符石 (只計算首批消除的符石),66,2,煉之狂暴龍印,,2,1 回合內，隊伍回復力提升 75%,1 回合內，隊伍攻擊力提升 25%,,1.0,,,,,,1.0,,,,,,,,,,,,
66,木,消除木符石 (只計算首批消除的符石),67,4,森之屏息龍符,,2,1 回合內，隊伍回復力提升 75%,1 回合內，隊伍攻擊力提升 25%,,1.0,,,,,,1.0,,,,,,,,,,,,
67,光,消除光符石 (只計算首批消除的符石),68,1,耀之狂暴龍紋,,2,1 回合內，隊伍回復力提升 75%,1 回合內，隊伍攻擊力提升 25%,,1.0,,,,,,1.0,,,,,,,,,,,,
68,暗,消除暗符石 (只計算首批消除的符石),69,2,影之狂暴龍印,,2,1 回合內，隊伍回復力提升 75%,1 回合內，隊伍攻擊力提升 25%,,1.0,,,,,,1.0,,,,,,,,,,,,
69,水,消除任何符石 (只計算首批消除的符石),70,1,漩之神療龍紋,神族,3,1 回合內，隊伍攻擊力提升 15%,1 回合內，回復 65% 生命力,1 回合內，隊伍攻擊力提升 25%,1.0,1.0,,,,,,,,,,,,,,,,,
70,木,消除任何符石 (只計算首批消除的符石),71,3,森之魔暴龍咒,魔族,3,1 回合內，魔族成員的攻擊力提升 15%,隨機 2 個魔族成員的技能 CD 減少 2,1 回合內，回復 50% 生命力,1.0,1.0,1.0,,,,,,,,,,,,,,,,
71,,消除任何符石 (只計算首批消除的符石),72,4,虛之獸暴龍符,獸類,3,1 回合內，獸類成員的攻擊力提升 20%,隨機 4 個獸類成員的技能 CD 減少 2,1 回合內，回復 100% 生命力,1.0,1.0,1.0,,,,,,,,,,,,,,,,
72,,消除任何符石 (只計算首批消除的符石),73,4,虛之衝鋒龍符,魔族,3,1 回合內，隊伍攻擊力提升 15%,1 回合內，魔族成員的攻擊力提升 20%,1 回合內，無視攻前盾,1.0,,,,,1.0,,,,,,,,,,,,,
73,火,消除任何符石 (只計算首批消除的符石),74,2,煉之魔暴龍印,魔族,3,1 回合內，魔族成員的攻擊力提升 20%,1 回合內，火屬性成員的攻擊力提升 20%,1 回合內，敵方所受傷害的 3% 轉化為我方生命力，最大為生命力等值的50% (傷害轉化效果不能疊加，並不計算主動及隊長技傷害),1.0,,,,,,,,,,1.0,,,,,,,,
74,,消除任何符石 (只計算首批消除的符石),75,6,虛之狂暴龍刃,,1,1 回合內，隊伍攻擊力提升 10%,,,1.0,,,,,,,,,,,,,,,,,,
75,木,裝備此龍刻的召喚獸發動攻擊的次數,76,6,森之狂暴龍刃,,2,1 回合內，隊伍攻擊力提升 15%,1 回合內，攻擊力提升 15%，所有成員無視屬性相剋,,1.0,,,,,,,,,1.0,,,,,,,,,
76,水,裝備此龍刻的召喚獸發動攻擊的次數,77,6,漩之狂暴龍刃,,2,1 回合內，隊伍攻擊力提升 15%,1 回合內，攻擊力提升 15%，所有成員無視屬性相剋,,1.0,,,,,,,,,1.0,,,,,,,,,
77,光,裝備此龍刻的召喚獸發動攻擊的次數,78,6,耀之狂暴龍刃,,2,1 回合內，隊伍攻擊力提升 15%,1 回合內，攻擊力提升 15%，所有成員無視屬性相剋,,1.0,,,,,,,,,1.0,,,,,,,,,
78,火,裝備此龍刻的召喚獸發動攻擊的次數,79,6,煉之狂暴龍刃,,2,1 回合內，隊伍攻擊力提升 15%,1 回合內，攻擊力提升 15%，所有成員無視屬性相剋,,1.0,,,,,,,,,1.0,,,,,,,,,
79,暗,裝備此龍刻的召喚獸發動攻擊的次數,80,6,影之狂暴龍刃,,2,1 回合內，隊伍攻擊力提升 15%,1 回合內，攻擊力提升 15%，所有成員無視屬性相剋,,1.0,,,,,,,,,1.0,,,,,,,,,
80,水,消除水符石 (只計算首批消除的符石),81,6,漩之魔障龍刃,魔族,3,1 回合內，水屬性成員的攻擊力提升 20%,1 回合內，回復 50% 生命力,1 回合內，減少所受傷害 80%,1.0,1.0,,,,,,1.0,,,,,,,,,,,
81,,消除心符石 (只計算首批消除的符石),82,6,祈之妖療龍刃,妖精類,3,1 回合內，妖精類成員的回復力提升 100%,隨機 4 個妖精類成員的技能 CD 減少 2,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為心符石,,,1.0,,,,1.0,,,,,,,,1.0,,,,
82,光,消除光符石 (只計算首批消除的符石),83,6,耀之玲瓏龍刃,,3,1 回合內，隊伍攻擊力提升 15%,1 回合內，回復 50% 生命力,1 回合內，隊伍攻擊力提升 25%,1.0,1.0,,,,,,,,,,,,,,,,,
83,,連擊 (Combo) 達 4 或以上,84,6,連之越時龍刃,人類,3,1 回合內，隊伍攻擊力提升 15%,1 回合內，隊伍攻擊力提升 25%,隨機 2 個人類成員的技能 CD 減少 2,1.0,,1.0,,,,,,,,,,,,,,,,
84,水,連擊 (Combo) 達 4 或以上,85,4,漩之復生龍符,,2,1 回合內，敵人全體的防禦力減少 50%,1 回合內，回復 100% 生命力,,,1.0,,,,,,,,,,,,,,,,,
85,火,連擊 (Combo) 達 4 或以上,86,3,煉之復生龍咒,,2,1 回合內，敵人全體的防禦力減少 50%,1 回合內，回復 100% 生命力,,,1.0,,,,,,,,,,,,,,,,,
86,木,連擊 (Combo) 達 4 或以上,87,2,森之復生龍印,,2,1 回合內，敵人全體的防禦力減少 50%,1 回合內，回復 100% 生命力,,,1.0,,,,,,,,,,,,,,,,,
87,光,連擊 (Combo) 達 4 或以上,88,4,耀之復生龍符,,2,1 回合內，敵人全體的防禦力減少 50%,1 回合內，回復 100% 生命力,,,1.0,,,,,,,,,,,,,,,,,
88,暗,連擊 (Combo) 達 4 或以上,89,1,影之復生龍紋,,2,1 回合內，敵人全體的防禦力減少 50%,1 回合內，回復 100% 生命力,,,1.0,,,,,,,,,,,,,,,,,
89,,消除心符石 (只計算首批消除的符石),90,2,祈之龍療龍印,龍類,3,1 回合內，隊伍攻擊力提升 15%,1 回合內，回復 50% 生命力,隨機 2 個龍類成員的技能 CD 減少 2,1.0,1.0,1.0,,,,,,,,,,,,,,,,
90,,連擊 (Combo) 達 4 或以上,91,3,連之王療龍咒,人類,3,1 回合內，攻擊力提升 15%，所有成員無視屬性相剋,1 回合內，回復 65% 生命力,1 回合內，對全體敵人造成 100000 點無屬性傷害,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,
91,火,消除任何符石 (只計算首批消除的符石),92,1,煉之越時龍紋,神族,3,1 回合內，回復 50% 生命力,隨機 3 個神族成員的技能 CD 減少 2,1 回合內，隊伍攻擊力提升 15%,1.0,1.0,1.0,,,,,,,,,,,,,,,,
92,,連擊 (Combo) 達 4 或以上,93,1,連之魔暴龍紋,魔族,3,1 回合內，隊伍攻擊力提升 15%,1 回合內，魔族成員的攻擊力提升 20%,1 回合內，所受傷害不會使你死亡,1.0,,,,,,,,,,,,,1.0,,,,,
93,,連擊 (Combo) 達 4 或以上,94,3,連之屏息龍咒,,3,1 回合內，隊伍攻擊力提升 15%,1 回合內，隊伍回復力提升 50%,1 回合內，減少所受傷害 80%,1.0,,,,,,1.0,1.0,,,,,,,,,,,
94,,裝備此龍刻的召喚獸發動攻擊的次數,95,1,攻之復生龍紋,獸類,3,1 回合內，隊伍攻擊力提升 15%,1 回合內，完全回復生命力,隨機 2 個獸類成員的技能 CD 減少 2,1.0,1.0,1.0,,,,,,,,,,,,,,,,
95,水,裝備此龍刻的召喚獸發動攻擊的次數,96,4,漩之幻變龍符,,2,1 回合內，迴避木屬性敵人的攻擊,完成龍刻脈動後，將場上的木符石轉化為心符石,,,,,,,,,,,,,,,,1.0,1.0,,,
96,火,裝備此龍刻的召喚獸發動攻擊的次數,97,1,煉之幻變龍紋,,2,1 回合內，迴避水屬性敵人的攻擊,完成龍刻脈動後，將場上的水符石轉化為心符石,,,,,,,,,,,,,,,,1.0,1.0,,,
97,木,裝備此龍刻的召喚獸發動攻擊的次數,98,3,森之幻變龍咒,,2,1 回合內，迴避火屬性敵人的攻擊,完成龍刻脈動後，將場上的火符石轉化為心符石,,,,,,,,,,,,,,,,1.0,1.0,,,
98,光,裝備此龍刻的召喚獸發動攻擊的次數,99,2,耀之幻變龍印,,2,1 回合內，迴避暗屬性敵人的攻擊,完成龍刻脈動後，將場上的暗符石轉化為心符石,,,,,,,,,,,,,,,,1.0,1.0,,,
99,暗,裝備此龍刻的召喚獸發動攻擊的次數,100,2,影之幻變龍印,,2,1 回合內，迴避光屬性敵人的攻擊,完成龍刻脈動後，將場上的光符石轉化為心符石,,,,,,,,,,,,,,,,1.0,1.0,,,
100,火,消除火符石 (只計算首批消除的符石),101,4,煉之原色龍符,神族,3,1 回合內，火屬性成員的攻擊力提升 20%,1 回合內，90% 的攻擊傷害無視五屬盾,1 回合內，隊伍攻擊力及回復力提升 30%,1.0,,,,1.0,,1.0,,,,,,,,,,,,
101,,連擊 (Combo) 達 4 或以上,102,3,連之神療龍咒,神族,3,1 回合內，神族成員的攻擊力提升 15%,1 回合內，回復 50% 生命力,1 回合內，攻擊力提升 20%，所有成員無視屬性相剋,1.0,1.0,,,,,,,,1.0,,,,,,,,,
102,,裝備此龍刻的召喚獸發動攻擊的次數,103,3,攻之嗜血龍咒,獸類,3,1 回合內，獸類成員的攻擊力提升 15%,1 回合內，敵方所受傷害的 3% 轉化為我方生命力，最大為生命力等值的50% (傷害轉化效果不能疊加，並不計算主動及隊長技傷害),隨機 2 個獸類成員的技能 CD 減少 2,1.0,,1.0,,,,,,,,1.0,,,,,,,,
103,光,消除光符石 (只計算首批消除的符石),104,1,耀之嗜血龍紋,魔族,3,1 回合內，魔族成員的攻擊力提升 15%,1 回合內，敵方所受傷害的 3% 轉化為我方生命力，最大為生命力等值的50% (傷害轉化效果不能疊加，並不計算主動及隊長技傷害),隨機 2 個魔族成員的技能 CD 減少 2,1.0,,1.0,,,,,,,,1.0,,,,,,,,
104,暗,消除暗符石 (只計算首批消除的符石),105,4,影之嗜血龍符,魔族,3,1 回合內，魔族成員的攻擊力提升 15%,1 回合內，敵方所受傷害的 3% 轉化為我方生命力，最大為生命力等值的50% (傷害轉化效果不能疊加，並不計算主動及隊長技傷害),隨機 2 個魔族成員的技能 CD 減少 2,1.0,,1.0,,,,,,,,1.0,,,,,,,,
105,木,消除木符石 (只計算首批消除的符石),106,2,森之龍療龍印,龍類,3,1 回合內，龍類成員的攻擊力提升 15%,1 回合內，回復 50% 生命力,1 回合內，對全體敵人造成 100000 點無屬性傷害,1.0,1.0,,,,,,,1.0,,,,,,,,,,
106,,連擊 (Combo) 達 4 或以上,107,1,連之龍療龍紋,龍類,3,1 回合內，龍類成員的攻擊力提升 15%,1 回合內，回復 50% 生命力,1 回合內，無視攻前盾,1.0,1.0,,,,1.0,,,,,,,,,,,,,
107,,消除任何符石 (只計算首批消除的符石),108,4,虛之魔暴龍符,魔族,3,1 回合內，減少所受傷害 50%,1 回合內，隊伍攻擊力提升 15%,1 回合內，50% 的攻擊傷害無視指定形狀盾,1.0,,,1.0,,,,1.0,,,,,,,,,,,
108,,裝備此龍刻的召喚獸發動攻擊的次數,109,2,攻之神暴龍印,神族,3,1 回合內，所有成員無視屬性相剋,1 回合內，隊伍攻擊力提升 20%,1 回合內，所受傷害不會使你死亡,1.0,,,,,,,,,1.0,,,,1.0,,,,,
109,,連擊 (Combo) 達 4 或以上,110,5,連之直流龍玉,妖精類,3,1 回合內，隊伍攻擊力及回復力提升 15%,完成龍刻脈動後，隨機把 1 直行的符石轉化為心符石,1 回合內，妖精類成員的攻擊力提升 50%,1.0,,,,,,1.0,,,,,,,,1.0,,,,
